NAME                                         DISPLAY NAME                                               DEFAULT CHANNEL
hpe-ezmeral-csi-operator                     HPE Ezmeral Data Fabric CSI Operator for Kubernetes        stable
ibm-application-gateway-operator             IBM Application Gateway Operator                           stable
ibm-block-csi-operator                       IBM block storage CSI driver operator                      stable
ibm-security-verify-directory-operator       IBM Security Verify Directory                              stable
ibm-security-verify-operator                 IBM Security Verify Operator                               stable
ibm-storage-odf-operator                     IBM Storage ODF operator                                   stable-v1.3
infoscale-dr-manager                         InfoScale™ DR Manager                                      stable
infoscale-licensing-operator                 InfoScale™ Licensing Operator                              stable
infoscale-operator                           InfoScale™ SDS Operator                                    stable
infoscale-sds-operator                       InfoScale™ SDS Operator                                    stable
infrastructure-asset-orchestrator-certified  Infrastructure Asset Orchestrator                          stable
installkit-customer                          Run:AI                                                     stable
instana-agent-operator                       Instana Agent Operator                                     stable
intel-device-plugins-operator                Intel Device Plugins Operator                              alpha
iomesh-operator                              IOMesh Operator                                            stable
joget-dx-operator                            Joget DX Operator                                          alpha
k8s-triliovault                              TrilioVault for Kubernetes                                 stable
k8s-triliovault-ibm                          TrilioVault for Kubernetes                                 stable
kong-gateway-operator                        Kong                                                       alpha
kubemq-operator-marketplace                  Kubemq Enterprise Operator                                 alpha
kubeturbo-certified                          Kubeturbo Operator                                         stable
lenovo-locd-operator                         lenovo-locd-operator                                       alpha
marketplace-games-operator                   Arcade Operator                                            alpha
memcached-operator-ogaye                     memcached-operator-ogaye                                   alpha
memory-machine-operator                      Memory Machine Operator                                    alpha
minio-operator                               Minio Operator                                             stable
model-builder-for-vision-certified           IBM Model Builder for Vision                               stable
mongodb-atlas-kubernetes                     MongoDB Atlas Operator                                     stable
mongodb-enterprise                           MongoDB Enterprise Operator                                stable
neuvector-certified-operator                 NeuVector Operator                                         beta
nginx-ingress-operator                       Nginx Ingress Operator                                     alpha
nutanixcsioperator                           Nutanix CSI Operator                                       stable
nxiq-operator-certified                      Nexus IQ Operator                                          stable
nxrm-operator-certified                      Nexus Repository Operator                                  stable
open-liberty-certified                       Open Liberty                                               beta2
openshiftartifactoryha-operator              JFrog Artifactory Enterprise Operator                      alpha
openshiftxray-operator                       JFrog Xray Continuous Security Operator                    alpha
operator-certification-operator              Operator Certification Operator                            alpha
operator-testing-ocp-4-11-22                 operator-testing-ocp-4-11-22                               stable
ovms-operator                                OpenVINO Toolkit Operator                                  alpha
pachyderm-operator                           Pachyderm                                                  stable
pcc-operator                                 Prisma Cloud Compute Operator                              stable
pmem-csi-operator-os                         Operator for PMEM-CSI driver                               stable
portworx-certified                           Portworx Enterprise                                        stable
prometurbo-certified                         Prometurbo Operator                                        stable
redis-enterprise-operator-cert               Redis Enterprise Operator                                  production
runtime-component-operator-certified         Runtime Component                                          beta2
sanstoragecsi-operator-bundle                NEC Storage M Series CSI Operator                          stable
silicom-sts-operator                         Silicom STS Operator                                       stable
smilecdr-operator                            Smilecdr Operator                                          alpha
sosivio                                      Sosivio | Predictive Troubleshooting for Kubernetes        stable
sriov-fec                                    SR-IOV Operator for Wireless FEC Accelerators              stable
stackable-commons-operator                   Stackable Commons Operator                                 stable
stackable-zookeeper-operator                 Apache Zookeeper Operator                                  stable
stackgres-operator                           StackGres                                                  stable
sysdig-certified                             Sysdig Agent Operator                                      stable
t8c-certified                                Turbonomic Platform Operator                               stable
test-obi-1302                                test-obi-1302                                              stable
tigera-operator                              Tigera Operator                                            release-v1.25
timemachine-operator                         Time Machine Operator                                      alpha
uma-admin-operator                           DX APM Universal Monitoring Agent Admin For Multi-tenancy  stable
uma-operator                                 DX APM Universal Monitoring Agent                          stable
uma-team-operator                            DX APM Universal Monitoring Agent Team For Multi-tenancy   stable
vfunction-server-operator                    vFunction Operator                                         stable
xcrypt-operator                              Zettaset XCrypt Operator                                   alpha
zabbix-operator-certified                    Zabbix Operator                                            lts
